Sheet,Cell,Formula,Evaluated Value
Analysis,B2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Step], """")",
Analysis,C2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Start_WW])",#N/A
Analysis,D2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!F:F)",2
Analysis,E2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!G:G)",CORE143
Analysis,F2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!H:H)",
Analysis,G2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!I:I)",NotFound
Analysis,H2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!J:J)",
Analysis,I2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!K:K)",NotFound
Analysis,J2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!L:L)",
Analysis,K2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!M:M)",NotFound
Analysis,L2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!N:N)",PUNIT:EPRPUNIT0
Analysis,M2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!O:O)",PortIn
Analysis,N2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!P:P)",RspI
Analysis,O2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!Q:Q)",Wdata_Wcmp
Analysis,P2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!R:R)",IO
Analysis,Q2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!S:S)",PCIE0
Analysis,R2,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!U:U)",WDTimeout (3 strike)
Analysis,T2,"=IF(summ[[#This Row],[Core Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable CORE:"",summ[[#This Row],[Core Hint]],""- MCAs:"",summ[[#This Row],[Core Mcas]]),"""")",Disable CORE: CORE143 - MCAs: WDTimeout (3 strike)
Analysis,U2,"=IF(summ[[#This Row],[CHA Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable CHA:"",summ[[#This Row],[CHA Hint]],""- Signature:"",summ[[#This Row],[Top OrigReq]],""-"",summ[[#This Row],[Top ISMQ]],"":"",summ[[#This Row],[Top SAD LocPort]]),IF(summ[[#This Row],[SrcIDs]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable SrcID: "",summ[[#This Row],[SrcIDs]],""- Signature:"",summ[[#This Row],[Top OrigReq]],""-"",summ[[#This Row],[Top ISMQ]],"":"",summ[[#This Row],[Top SAD LocPort]]),""""))",
Analysis,V2,"=IF(summ[[#This Row],[LLC Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable LLC:"",summ[[#This Row],[LLC Hint]]),"""")",
Analysis,W2,"=IF(summ[[#This Row],[Other]]<>"""",_xlfn.TEXTJOIN("" "",,""Defeature:"",summ[[#This Row],[Other]],"" -- Check CORE or CHA MCAs for more data.""),"""")",Defeature: PUNIT:EPRPUNIT0  -- Check CORE or CHA MCAs for more data.
Analysis,Y2,"=_xlfn.TEXTJOIN("" - "",,IF(summ[[#This Row],[Core Fail Area]]<>"""",""CORE: ""&summ[[#This Row],[Core Fail Area]],""""),IF(summ[[#This Row],[CHA Fail Area]]<>"""",""CHA: ""&summ[[#This Row],[CHA Fail Area]],""""),IF(summ[[#This Row],[LLC Fail Area]]<>"""",""LLC: ""&summ[[#This Row],[LLC Fail Area]],""""))",
Analysis,B3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Step], """")",
Analysis,C3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Start_WW])",#N/A
Analysis,D3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!F:F)",1
Analysis,E3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!G:G)",CORE13
Analysis,F3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!H:H)",
Analysis,G3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!I:I)",CHA134
Analysis,H3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!J:J)",Compute2 : Row6 : Col2
Analysis,I3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!K:K)",NotFound
Analysis,J3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!L:L)",
Analysis,K3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!M:M)",10
Analysis,L3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!N:N)",
Analysis,M3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!O:O)",WbMtoI
Analysis,N3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!P:P)",PullData
Analysis,O3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!Q:Q)",Ismq_Idle
Analysis,P3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!R:R)",HOM
Analysis,Q3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!S:S)",MEM4
Analysis,R3,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!U:U)",WDTimeout (3 strike)
Analysis,T3,"=IF(summ[[#This Row],[Core Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable CORE:"",summ[[#This Row],[Core Hint]],""- MCAs:"",summ[[#This Row],[Core Mcas]]),"""")",Disable CORE: CORE13 - MCAs: WDTimeout (3 strike)
Analysis,U3,"=IF(summ[[#This Row],[CHA Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable CHA:"",summ[[#This Row],[CHA Hint]],""- Signature:"",summ[[#This Row],[Top OrigReq]],""-"",summ[[#This Row],[Top ISMQ]],"":"",summ[[#This Row],[Top SAD LocPort]]),IF(summ[[#This Row],[SrcIDs]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable SrcID: "",summ[[#This Row],[SrcIDs]],""- Signature:"",summ[[#This Row],[Top OrigReq]],""-"",summ[[#This Row],[Top ISMQ]],"":"",summ[[#This Row],[Top SAD LocPort]]),""""))",Disable CHA: CHA134 - Signature: WbMtoI - Ismq_Idle : MEM4
Analysis,V3,"=IF(summ[[#This Row],[LLC Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable LLC:"",summ[[#This Row],[LLC Hint]]),"""")",
Analysis,W3,"=IF(summ[[#This Row],[Other]]<>"""",_xlfn.TEXTJOIN("" "",,""Defeature:"",summ[[#This Row],[Other]],"" -- Check CORE or CHA MCAs for more data.""),"""")",
Analysis,Y3,"=_xlfn.TEXTJOIN("" - "",,IF(summ[[#This Row],[Core Fail Area]]<>"""",""CORE: ""&summ[[#This Row],[Core Fail Area]],""""),IF(summ[[#This Row],[CHA Fail Area]]<>"""",""CHA: ""&summ[[#This Row],[CHA Fail Area]],""""),IF(summ[[#This Row],[LLC Fail Area]]<>"""",""LLC: ""&summ[[#This Row],[LLC Fail Area]],""""))",CHA: Compute2 : Row6 : Col2
Analysis,B4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Step], """")",
Analysis,C4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Start_WW])",#N/A
Analysis,D4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!F:F)",3
Analysis,E4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!G:G)",CORE17
Analysis,F4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!H:H)",
Analysis,G4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!I:I)",CHA9
Analysis,H4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!J:J)",
Analysis,I4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!K:K)",NotFound
Analysis,J4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!L:L)",
Analysis,K4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!M:M)",NotFound
Analysis,L4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!N:N)",UPI:pcie6
Analysis,M4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!O:O)",DRd
Analysis,N4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!P:P)",RspI
Analysis,O4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!Q:Q)",Wdata_Wcmp_Split
Analysis,P4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!R:R)",HOM
Analysis,Q4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!S:S)",MEM0
Analysis,R4,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!U:U)","WDTimeout (3 strike), SQDB or IDI (addr / data) parity"
